date,pair,visa_fx_per_inr,visa_inr_per_unit,visa_bill_amt,visa_benchmark,visa_markup,mc_fx_per_inr,mc_inr_per_unit,mc_bill_amt
2025-09-15,EUR/INR,0.0096877205,103.223456,968.77205,0.0096675522,0.002086,0.0096862,103.239661,968.6200000
2025-09-16,USD/INR,0.0113513707,88.095087,1135.13707,0.0113446047,0.000596,0.0113675,87.97009,1136.7500000
2025-09-16,EUR/INR,0.009689594,103.203498,968.9594,0.0096418534,0.004951,0.0096704,103.408339,967.0400000
2025-09-17,USD/INR,0.0113623338,88.010088,1136.23338,0.0113570889,0.000462,0.0114004,87.71622,1140.0400000
2025-09-17,EUR/INR,0.0096651263,103.464762,966.51263,0.0096189455,0.004801,0.0096361,103.776424,963.6100000
2025-09-18,USD/INR,0.0114100431,87.642087,1141.00431,0.0113828800,0.002386,0.0113576,88.04677,1135.7600000
2025-09-18,EUR/INR,0.0096646042,103.470352,966.46042,0.0096163555,0.005017,0.0096661,103.45434,966.6100000
2025-09-19,USD/INR,0.0113713782,87.940088,1137.13782,0.0113488935,0.001981,0.0113580,88.04367,1135.8000000
2025-09-19,EUR/INR,0.009677759,103.329706,967.7759,0.0096030576,0.007779,0.0096845,103.257783,968.4500000
2025-09-20,USD/INR,0.011357946,88.044088,1135.7946,0.0113429662,0.001321,0.0113580,88.04367,1135.8000000
2025-09-20,EUR/INR,0.00968446,103.258209,968.446,0.0096651041,0.002003,0.0096845,103.257783,968.4500000
2025-09-21,USD/INR,0.011357946,88.044088,1135.7946,0.0113429662,0.001321,0.0113580,88.04367,1135.8000000
2025-09-21,EUR/INR,0.00968446,103.258209,968.446,0.0096651041,0.002003,0.0096845,103.257783,968.4500000
2025-09-22,USD/INR,0.011357946,88.044088,1135.7946,0.0113429662,0.001321,0.0113320,88.245676,1133.2000000
2025-09-22,EUR/INR,0.00968446,103.258209,968.446,0.0096651041,0.002003,0.0096648,103.468256,966.4800000
2025-09-23,USD/INR,0.0113493094,88.111088,1134.93094,0.0113281025,0.001872,0.0112679,88.747681,1126.7900000
2025-09-23,EUR/INR,0.0096795719,103.310354,967.95719,0.0096155695,0.006656,0.0095734,104.456097,957.3400000
2025-09-24,USD/INR,0.0113112462,88.407588,1131.12462,0.0112644925,0.004151,0.0112780,88.668204,1127.8000000
2025-09-24,EUR/INR,0.0096036975,104.126561,960.36975,0.0095518465,0.005428,0.0096171,103.98145,961.7100000
2025-09-25,USD/INR,0.0112780146,88.668088,1127.80146,0.0112730080,0.000444,0.0112855,88.609277,1128.5500000
2025-09-25,EUR/INR,0.0096171257,103.981171,961.71257,0.0095891528,0.002917,0.0096738,103.371994,967.3800000
2025-09-26,USD/INR,0.0112874348,88.594088,1128.74348,0.0112754115,0.001066,0.0112810,88.644624,1128.1000000
2025-09-26,EUR/INR,0.0096929356,103.167919,969.29356,0.0096050869,0.009146,0.0096874,103.226872,968.7400000
2025-09-27,USD/INR,0.0112843779,88.618088,1128.43779,0.0112719038,0.001107,0.0112810,88.644624,1128.1000000
2025-09-27,EUR/INR,0.0096803351,103.302209,968.03351,0.0096572171,0.002394,0.0096874,103.226872,968.7400000
2025-09-28,USD/INR,0.0112843779,88.618088,1128.43779,0.0112719038,0.001107,0.0112810,88.644624,1128.1000000
2025-09-28,EUR/INR,0.0096803351,103.302209,968.03351,0.0096572171,0.002394,0.0096874,103.226872,968.7400000
2025-09-29,USD/INR,0.0112843779,88.618088,1128.43779,0.0112719038,0.001107,0.0112765,88.679998,1127.6500000
2025-09-29,EUR/INR,0.0096803351,103.302209,968.03351,0.0096572171,0.002394,0.0096405,103.72906,964.0500000
2025-09-30,USD/INR,0.0112842506,88.619088,1128.42506,0.0112675325,0.001484,0.0112590,88.817835,1125.9000000
2025-09-30,EUR/INR,0.0096471226,103.657851,964.71226,0.0096114753,0.003709,0.0096140,104.014978,961.4000000
2025-10-01,USD/INR,0.011278905,88.661088,1127.8905,0.0112618316,0.001516,0.0112901,88.573175,1129.0100000
2025-10-01,EUR/INR,0.0096310253,103.831105,963.10253,0.0095918845,0.004081,0.0096389,103.746278,963.8900000
2025-10-02,USD/INR,0.0112900727,88.573388,1129.00727,0.0112706927,0.00172,0.0112823,88.63441,1128.2300000
2025-10-02,EUR/INR,0.0096397383,103.737256,963.97383,0.0096133510,0.002745,0.0096586,103.534674,965.8600000
2025-10-03,USD/INR,0.0112806227,88.647588,1128.06227,0.0112715981,0.000801,0.0112792,88.65877,1127.9200000
2025-10-03,EUR/INR,0.0096572309,103.549351,965.72309,0.0095895849,0.007054,0.0096461,103.66884,964.6100000
2025-10-04,USD/INR,0.0112791976,88.658788,1127.91976,0.0112628740,0.001449,0.0112792,88.65877,1127.9200000
2025-10-04,EUR/INR,0.0096312752,103.828411,963.12752,0.0095984950,0.003415,0.0096461,103.66884,964.6100000
2025-10-05,USD/INR,0.0112791976,88.658788,1127.91976,0.0112628740,0.001449,0.0112792,88.65877,1127.9200000
2025-10-05,EUR/INR,0.0096312752,103.828411,963.12752,0.0095984950,0.003415,0.0096461,103.66884,964.6100000
2025-10-06,USD/INR,0.0112791976,88.658788,1127.91976,0.0112628740,0.001449,0.0112757,88.68629,1127.5700000
2025-10-06,EUR/INR,0.0096312752,103.828411,963.12752,0.0095984950,0.003415,0.0096796,103.310054,967.9600000
2025-10-07,USD/INR,0.0112771243,88.675088,1127.71243,0.0112637204,0.00119,0.0112760,88.68393,1127.6000000
2025-10-07,EUR/INR,0.0096807563,103.297714,968.07563,0.0096452478,0.003681,0.0096765,103.343151,967.6500000
2025-10-08,USD/INR,0.0112758527,88.685088,1127.58527,0.0112668711,0.000797,0.0112733,88.705171,1127.3300000
2025-10-08,EUR/INR,0.0096813269,103.291626,968.13269,0.0096578700,0.002429,0.0097167,102.915599,971.6700000
2025-10-09,USD/INR,0.0112717856,88.717088,1127.17856,0.0112667458,0.000447,0.0112578,88.827302,1125.7800000
2025-10-09,EUR/INR,0.0097195605,102.885310,971.95605,0.0096901572,0.003034,0.0097513,102.550429,975.1300000
2025-10-10,USD/INR,0.0112682292,88.745088,1126.82292,0.0112616086,0.000588,0.0112838,88.622627,1128.3800000
2025-10-10,EUR/INR,0.0097636409,102.420809,976.36409,0.0096990859,0.006656,0.0097771,102.279817,977.7100000
2025-10-11,USD/INR,0.0113010838,88.487088,1130.10838,0.0112726234,0.002525,0.0112838,88.622627,1128.3800000
2025-10-11,EUR/INR,0.0097802445,102.246932,978.02445,0.0097446607,0.003652,0.0097771,102.279817,977.7100000
2025-10-12,USD/INR,0.0113010838,88.487088,1130.10838,0.0112726234,0.002525,0.0112838,88.622627,1128.3800000
2025-10-12,EUR/INR,0.0097802445,102.246932,978.02445,0.0097446607,0.003652,0.0097771,102.279817,977.7100000
2025-10-13,USD/INR,0.0113010838,88.487088,1130.10838,0.0112726234,0.002525,0.0112923,88.555919,1129.2300000
2025-10-13,EUR/INR,0.0097802445,102.246932,978.02445,0.0097446607,0.003652,0.0097718,102.335291,977.1800000
2025-10-14,USD/INR,0.0112922783,88.556088,1129.22783,0.0112751691,0.001517,0.0112689,88.739806,1126.8900000
2025-10-14,EUR/INR,0.0097717783,102.335518,977.17783,0.0097460188,0.002643,0.0097651,102.405505,976.5100000
2025-10-15,USD/INR,0.0112714044,88.720088,1127.14044,0.0112621219,0.000824,0.0113746,87.915179,1137.4600000
2025-10-15,EUR/INR,0.0097672384,102.383085,976.72384,0.0097482229,0.001951,0.0098066,101.972141,980.6600000
2025-10-16,USD/INR,0.011373965,87.920087,1137.3965,0.0113560970,0.001573,0.0113906,87.791688,1139.0600000
2025-10-16,EUR/INR,0.0098051324,101.987404,980.51324,0.0097712072,0.003472,0.0097975,102.066854,979.7500000
2025-10-17,USD/INR,0.0114157743,87.598087,1141.57743,0.0113730333,0.003758,0.0113763,87.902042,1137.6300000
2025-10-17,EUR/INR,0.0098073565,101.964275,980.73565,0.0097630984,0.004533,0.0097600,102.459016,976.0000000
2025-10-18,USD/INR,0.0114022371,87.702087,1140.22371,0.0113642776,0.00334,0.0113763,87.902042,1137.6300000
2025-10-18,EUR/INR,0.0097889987,102.155494,978.89987,0.0097288568,0.006182,0.0097600,102.459016,976.0000000
2025-10-19,USD/INR,0.0114022371,87.702087,1140.22371,0.0113642776,0.00334,0.0113763,87.902042,1137.6300000
2025-10-19,EUR/INR,0.0097889987,102.155494,978.89987,0.0097288568,0.006182,0.0097600,102.459016,976.0000000
2025-10-20,USD/INR,0.0114022371,87.702087,1140.22371,0.0113642776,0.00334,0.0113959,87.750858,1139.5900000
2025-10-20,EUR/INR,0.0097889987,102.155494,978.89987,0.0097288568,0.006182,0.0097869,102.1774,978.6900000
2025-10-21,USD/INR,0.0113982732,87.732587,1139.82732,0.0113761146,0.001948,0.0113790,87.881185,1137.9000000
2025-10-21,EUR/INR,0.0097948455,102.094514,979.48455,0.0097607160,0.003497,0.0098120,101.916021,981.2000000
2025-10-22,USD/INR,0.011380437,87.870087,1138.0437,0.0113674536,0.001142,0.0114150,87.60403,1141.5000000
2025-10-22,EUR/INR,0.0098132497,101.903042,981.32497,0.0097936191,0.002004,0.0098609,101.410622,986.0900000
2025-10-23,USD/INR,0.0113976236,87.737587,1139.76236,0.0113104372,0.007708,0.0114049,87.681611,1140.4900000
2025-10-23,EUR/INR,0.0098458986,101.565132,984.58986,0.0097613163,0.008665,0.0098454,101.570276,984.5400000
2025-10-24,USD/INR,0.0113869164,87.820087,1138.69164,0.0113867965,0.000011,0.0113899,87.797083,1138.9900000
2025-10-24,EUR/INR,0.0098298559,101.730891,982.98559,0.0098221310,0.000786,0.0098197,101.836105,981.9700000
2025-10-25,USD/INR,0.0114122568,87.625087,1141.22568,0.0113890033,0.002042,0.0113899,87.797083,1138.9900000
2025-10-25,EUR/INR,0.0098389907,101.636441,983.89907,0.0098079601,0.003164,0.0098197,101.836105,981.9700000
2025-10-26,USD/INR,0.0114122568,87.625087,1141.22568,0.0113890033,0.002042,0.0113899,87.797083,1138.9900000
2025-10-26,EUR/INR,0.0098389907,101.636441,983.89907,0.0098079601,0.003164,0.0098197,101.836105,981.9700000
2025-10-27,USD/INR,0.0114122568,87.625087,1141.22568,0.0113890033,0.002042,0.0113404,88.180311,1134.0400000
